0,Aasen,Germany,1,47.983,8.55,717
Date (MM/DD/YYYY),Time (HH:MM),GHI (W/m^2),DNI (W/m^2),DHI (W/m^2),Dry-bulb (C),Pressure (mbar),Alb
01/14/2021,05:00:00,,,,0.04166667,1013.0,0.25
01/14/2021,06:00:00,,,,-0.06666667,1013.0,0.25
01/14/2021,07:00:00,0.525,,,-0.2416667,1013.0,0.25
01/14/2021,08:00:00,0.7,0.0,0.7,-0.09166667,1013.0,0.25
01/14/2021,09:00:00,1.825,0.0,1.825,0.05833333,1013.0,0.25
01/14/2021,10:00:00,3.133333,0.0,3.133333,-0.4416667,1013.0,0.25
01/14/2021,11:00:00,3.883333,0.0,3.883333,-0.9166667,1013.0,0.25
01/14/2021,12:00:00,3.733333,0.0,3.733333,-0.4166667,1013.0,0.25
01/14/2021,13:00:00,3.058333,0.0,3.058333,-0.675,1013.0,0.25
01/14/2021,14:00:00,2.358333,0.0,2.358333,-1.016667,1013.0,0.25
01/14/2021,15:00:00,1.483333,0.0,1.483333,-1.6,1013.0,0.25
01/14/2021,16:00:00,0.7083334,,,-2.558333,1013.0,0.25
01/14/2021,17:00:00,0.5,,,-2.825,1013.0,0.25
01/14/2021,18:00:00,,,,-2.841667,1013.0,0.25
01/14/2021,19:00:00,,,,-2.658333,1013.0,0.25
01/14/2021,20:00:00,,,,-2.816667,1013.0,0.25
01/14/2021,21:00:00,,,,-2.891667,1013.0,0.25
01/14/2021,22:00:00,,,,-2.883333,1013.0,0.25
01/14/2021,23:00:00,,,,-2.708333,1013.0,0.25
01/15/2021,00:00:00,,,,-2.691667,1013.0,0.25
01/15/2021,01:00:00,,,,-2.775,1013.0,0.25
01/15/2021,02:00:00,,,,-2.7,1013.0,0.25
01/15/2021,03:00:00,,,,-2.85,1013.0,0.25
01/15/2021,04:00:00,,,,-2.966667,1013.0,0.25
01/15/2021,05:00:00,,,,-3.1,1013.0,0.25
01/15/2021,06:00:00,,,,-3.291667,1013.0,0.25
01/15/2021,07:00:00,0.45,,,-3.525,1013.0,0.25
01/15/2021,08:00:00,0.7583333,0.0,0.7583333,-3.591667,1013.0,0.25
01/15/2021,09:00:00,2.125,0.0,2.125,-2.583333,1013.0,0.25
01/15/2021,10:00:00,5.291667,0.0,5.291667,-1.166667,1013.0,0.25
01/15/2021,11:00:00,9.258333,0.0,9.258333,0.6833333,1013.0,0.25
01/15/2021,12:00:00,11.94167,0.0,11.94167,0.9,1013.0,0.25
01/15/2021,13:00:00,16.04167,0.0,16.04167,1.458333,1013.0,0.25
01/15/2021,14:00:00,9.291667,0.0,9.291667,0.6416667,1013.0,0.25
01/15/2021,15:00:00,4.583333,0.0,4.583333,-1.05,1013.0,0.25
01/15/2021,16:00:00,1.375,,,-3.15,1013.0,0.25
01/15/2021,17:00:00,0.4833333,,,-5.775,1013.0,0.25
01/15/2021,18:00:00,,,,-6.541667,1013.0,0.25
01/15/2021,19:00:00,,,,-7.433333,1013.0,0.25
01/15/2021,20:00:00,,,,-7.525,1013.0,0.25
01/15/2021,21:00:00,,,,-11.38333,1013.0,0.25
01/15/2021,22:00:00,,,,-12.84167,1013.0,0.25
01/15/2021,23:00:00,,,,-11.23333,1013.0,0.25
01/16/2021,00:00:00,,,,-9.275,1013.0,0.25
01/16/2021,01:00:00,,,,-7.733334,1013.0,0.25
01/16/2021,02:00:00,,,,-7.075,1013.0,0.25
01/16/2021,03:00:00,,,,-6.75,1013.0,0.25
01/16/2021,04:00:00,,,,-6.683333,1013.0,0.25
01/16/2021,05:00:00,,,,-6.416667,1013.0,0.25
01/16/2021,06:00:00,,,,-6.383333,1013.0,0.25
01/16/2021,07:00:00,0.525,,,-6.616667,1013.0,0.25
01/16/2021,08:00:00,0.975,0.0,0.975,-6.433333,1013.0,0.25
01/16/2021,09:00:00,2.375,0.0,2.375,-5.225,1013.0,0.25
01/16/2021,10:00:00,5.525,0.0,5.525,-5.141666,1013.0,0.25
01/16/2021,11:00:00,5.283333,0.0,5.283333,-4.416667,1013.0,0.25
01/16/2021,12:00:00,6.316667,0.0,6.316667,-3.558333,1013.0,0.25
01/16/2021,13:00:00,6.466667,0.0,6.466667,-3.3,1013.0,0.25
01/16/2021,14:00:00,7.583333,0.0,7.583333,-3.616667,1013.0,0.25
01/16/2021,15:00:00,3.7,0.0,3.7,-4.433333,1013.0,0.25
01/16/2021,16:00:00,1.308333,,,-5.891667,1013.0,0.25
01/16/2021,17:00:00,0.5571429,,,-6.525,1013.0,0.25
01/16/2021,18:00:00,,,,-6.825,1013.0,0.25
01/16/2021,19:00:00,,,,-6.683333,1013.0,0.25
01/16/2021,20:00:00,,,,-6.575,1013.0,0.25
01/16/2021,21:00:00,,,,-6.066667,1013.0,0.25
01/16/2021,22:00:00,,,,-5.583333,1013.0,0.25
01/16/2021,23:00:00,,,,-5.158333,1013.0,0.25
